Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Taylor Malham,us USA,DF,26,25,25,"2,250",25,0,1,1,0,0,0,3,0,0.3,0.3,1.8,2.1,30,80,61,0,0.04,0.04,0,0.04,0.01,0.07,0.08,0.01,0.08
Samantha Staab,us USA,DF,28,25,24,"2,072",23,2,4,6,2,0,0,2,0,1.7,1.7,2,3.7,8,73,9,0.09,0.17,0.26,0.09,0.26,0.07,0.09,0.16,0.07,0.16
Julia Grosso,ca CAN,"MF,FW",25,24,23,"1,986",22.1,2,3,5,2,0,0,1,0,1.7,1.7,3.2,4.9,31,105,66,0.09,0.14,0.23,0.09,0.23,0.08,0.14,0.22,0.08,0.22
Ally Schlegel,us USA,"FW,MF",25,25,23,"1,934",21.5,2,5,7,2,0,0,2,0,6.2,6.2,2.6,8.8,20,80,62,0.09,0.23,0.33,0.09,0.33,0.29,0.12,0.41,0.29,0.41
Alyssa Naeher,us USA,GK,37,22,22,"1,979",22,1,0,1,1,0,0,0,0,0.9,0.9,0.1,1,0,0,0,0.05,0,0.05,0.05,0.05,0.04,0,0.05,0.04,0.05
Ludmila,br BRA,FW,30,23,21,"1,805",20.1,10,1,11,10,0,0,3,0,5.6,5.6,2.6,8.2,52,40,142,0.5,0.05,0.55,0.5,0.55,0.28,0.13,0.41,0.28,0.41
Maitane López Millán,es ESP,MF,30,22,20,"1,650",18.3,0,2,2,0,0,0,1,0,0.5,0.5,0.5,1,7,51,12,0,0.11,0.11,0,0.11,0.03,0.02,0.05,0.03,0.05
Bea Franklin,us USA,"MF,DF",25,22,17,"1,652",18.4,3,1,4,3,0,0,4,0,1.9,1.9,1.7,3.6,2,47,20,0.16,0.05,0.22,0.16,0.22,0.1,0.09,0.19,0.1,0.19
Camryn Biegalski,us USA,DF,27,19,15,"1,478",16.4,1,1,2,1,0,0,2,0,0.7,0.7,0.8,1.5,28,51,33,0.06,0.06,0.12,0.06,0.12,0.04,0.05,0.09,0.04,0.09
Jameese Joseph,us USA,"FW,MF",23,20,15,"1,305",14.5,3,2,5,3,0,0,2,0,3.7,3.7,1.9,5.6,49,22,93,0.21,0.14,0.34,0.21,0.34,0.26,0.13,0.39,0.26,0.39
Cari Roccaro,us USA,"DF,MF",31,14,14,"1,206",13.4,0,0,0,0,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0
Kathrin Hendrich,de GER,DF,33,12,11,"1,009",11.2,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,8,24,0,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
Shea Groom,us USA,"FW,MF",32,14,9,789,8.8,2,0,2,2,0,0,1,0,0.8,0.8,1.5,2.3,12,27,32,0.23,0,0.23,0.23,0.23,0.09,0.17,0.26,0.09,0.26
Manaka Hayashi,jp JPN,MF,21,16,7,639,7.1,0,1,1,0,0,0,1,0,0.4,0.4,1.3,1.6,6,16,16,0,0.14,0.14,0,0.14,0.05,0.18,0.23,0.05,0.23
Nádia Gomes,pt POR,"FW,MF",28,18,6,579,6.4,2,1,3,2,0,0,1,0,1.4,1.4,1,2.4,16,11,50,0.31,0.16,0.47,0.31,0.47,0.21,0.16,0.37,0.21,0.37
Jenna Bike,us USA,"FW,MF",27,8,6,428,4.8,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,5,6,30,0,0,0,0,0,0.14,0.11,0.24,0.14,0.24
Natalia Kuikka,fi FIN,DF,29,6,5,348,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,7,15,5,0,0,0,0,0,0.1,0,0.1,0.1,0.1
Hannah Anderson,us USA,DF,24,11,4,470,5.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.5,0,8,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09
Halle Mackiewicz,us USA,GK,24,4,3,271,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Cary,us USA,DF,24,4,3,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0.02,0.02,0,0.02